ลำดับ,หมวด,ประโยคเดิม,ประโยคโคลน,ผ่าน,ไม่ผ่าน
151,CURIOSITY,ไม่เชื่อก็ต้องเชื่อ! ว่าของราคาแค่นี้จะทำได้ขนาดนี้,ไม่เชื่อก็ต้องลองดู! ว่าของชิ้นนี้ทำได้เกินที่คิด,,
152,CURIOSITY,เพิ่งรู้ว่าทำแบบนี้ได้ด้วย ฉันไปอยู่ไหนมาเนี่ย!,เพิ่งรู้ว่าทำแบบนี้ได้ด้วย ฉันไปอยู่ไหนมาเนี่ยนะ!,,
153,CURIOSITY,หยุดไถฟีดก่อน! ถ้าไม่อยากพลาดสิ่งนี้,หยุดไถฟีดก่อน! ถ้าไม่อยากพลาดสิ่งนี้นะ,,
154,CURIOSITY,อย่าเพิ่งซื้อของแพง ถ้ายังไม่ได้ดูคลิปนี้!,อย่าเพิ่งซื้อของแพง ถ้ายังไม่ได้ดูคลิปนี้นะ!,,
155,CURIOSITY,ช็อกวงการ! ไอเทมลับที่คู่แข่งไม่อยากให้คุณรู้,ช็อกวงการ! ของชิ้นนี้ลับที่คู่แข่งไม่อยากให้คุณรู้,,
156,CURIOSITY,รู้รึเปล่า? ว่าคุณอาจจะกำลังทำผิดมาตลอด!,รู้รึเปล่า? ว่าคุณอาจจะกำลังทำผิดมาตลอดนะ!,,
157,CURIOSITY,ความลับที่โดนปิดบังมานาน วันนี้จะมาแฉให้หมด!,ความลับที่โดนปิดบังมานาน วันนี้จะมาแฉให้หมดนะ!,,
158,CURIOSITY,ระวัง! ถ้ากดใช้สิ่งนี้ ชีวิตคุณจะเปลี่ยนไป!,ระวัง! ถ้ากดใช้สิ่งนี้ ชีวิตคุณจะเปลี่ยนไปนะ!,,
159,CURIOSITY,คลิปนี้อาจจะโดนลบ รีบดูก่อนบิน!,คลิปนี้อาจจะโดนลบ รีบดูก่อนบินนะ!,,
160,CURIOSITY,เตือนภัย! อย่าหาทำแบบนี้ ถ้ายังไม่รู้สิ่งนี้,เตือนภัย! อย่าหาทำแบบนี้ ถ้ายังไม่รู้สิ่งนี้นะ,,
161,CURIOSITY,ไขข้อข้องใจ ทำไมคนถึงฮิตสิ่งนี้กันนัก!,ไขข้อข้องใจ ทำไมคนถึงฮิตสิ่งนี้กันนักนะ!,,
162,CURIOSITY,ทดลองใช้มา 7 วัน ผลลัพธ์ที่ได้คือช็อกมาก!,ทดลองใช้มา 7 วัน ผลลัพธ์ที่ได้คือช็อกมากนะ!,,
163,CURIOSITY,แฉหมดเปลือก! รีวิวตามจริง แบบไม่เกรงใจใคร,แฉหมดเปลือก! รีวิวตามจริง แบบไม่เกรงใจใครอีก,,
164,CURIOSITY,สิ่งที่คุณเห็น อาจจะไม่ใช่อย่างที่คุณคิด!,สิ่งที่คุณเห็น อาจจะไม่ใช่อย่างที่คุณคิดนะ!,,
165,CURIOSITY,รู้แล้วเหยียบไว้เลยนะ ความลับขั้นสุดยอด!,รู้แล้วเหยียบไว้เลยนะ ความลับขั้นสุดยอดจ้า!,,
166,CURIOSITY,อย่าเพิ่งเลื่อนผ่าน ถ้าคุณมีอาการแบบนี้!,อย่าเพิ่งเลื่อนผ่าน ถ้าคุณมีอาการแบบนี้นะ!,,
167,CURIOSITY,ตอบชัดๆ ตรงนี้ ดีจริงหรือแค่กระแส!,ตอบชัดๆ ตรงนี้ ดีจริงหรือแค่กระแสนะ!,,
168,CURIOSITY,ท้าพิสูจน์! ไอเทมที่เคลมว่าดีที่สุด มันจริงมั้ย?,ท้าพิสูจน์! ไอเทมที่เคลมว่าโดนใจเรามาก มันจริงมั้ย?,,
169,CURIOSITY,คลิปนี้มีคำตอบ! สำหรับคนที่สงสัยมานาน,คลิปนี้เลยมีคำตอบ! สำหรับคนที่สงสัยมานาน,,
170,CURIOSITY,ระวังโดนหลอก! ดูคลิปนี้ก่อนตัดสินใจซื้อ,ระวังโดนหลอก! ดูคลิปนี้เลยก่อนตัดสินใจซื้อ,,
171,CURIOSITY,เผยทริคเด็ด ที่ไม่มีใครเคยบอกคุณมาก่อน!,เผยทริคเด็ด ที่ไม่มีใครเคยบอกคุณมาก่อนนะ!,,
172,CURIOSITY,ช็อกอีกรอบ! เมื่อรู้ว่าส่วนผสมของสิ่งนี้คืออะไร,ช็อกอีกรอบ! เมื่อรู้ว่าส่วนผสมของสิ่งนี้คืออะไรนะ,,
173,CURIOSITY,อย่าเพิ่งเชื่อรีวิว ถ้ายังไม่ได้ลองด้วยตัวเอง!,อย่าเพิ่งเชื่อรีวิว ถ้ายังไม่ได้ลองด้วยตัวเองนะ!,,
174,CURIOSITY,คลิปนี้จะมาเปลี่ยนความคิดคุณ ไปตลอดกาล!,คลิปนี้จะมาเปลี่ยนความคิดคุณ ไปตลอดกาลนะ!,,
175,CURIOSITY,ใครพลาดคลิปนี้ ถือว่าพลาดเรื่องสำคัญมาก!,ใครพลาดคลิปนี้ ถือว่าพลาดเรื่องสำคัญมากนะ!,,
176,CURIOSITY,เจาะลึกความจริง ไอเทมสุดฮิต มันดีจริงหรอ?,เจาะลึกความจริง ของชิ้นนี้สุดฮิต มันดีจริงหรอ?,,
177,CURIOSITY,ระวังตัวให้ดี! เพราะสิ่งนี้อาจจะทำให้คุณเสียทรัพย์,ระวังตัวให้ดี! เพราะสิ่งนี้อาจจะทำให้คุณเสียทรัพย์น,,
178,CURIOSITY,รู้หรือไม่? แค่ปรับนิดเดียว ผลลัพธ์เปลี่ยนมหาศาล!,รู้หรือไม่? แค่ปรับนิดเดียว ผลลัพธ์เปลี่ยนมหาศาลนะ!,,
179,CURIOSITY,สิ่งที่แบรนด์ไม่ได้บอกคุณ แต่เราจะบอกเอง!,สิ่งที่แบรนด์ไม่ได้บอกคุณ แต่เราจะบอกเองนะ!,,
180,CURIOSITY,ช็อกขีดสุด! เมื่อเห็นก่อนและหลังใช้,ช็อกขีดสุด! เมื่อเห็นช่วงก่อนใช้กับหลังใช้,,
181,CURIOSITY,อย่าเพิ่งด่วนสรุป ดูคลิปนี้ให้จบก่อน!,อย่าเพิ่งด่วนสรุป ดูคลิปนี้ให้จบก่อนนะ!,,
182,CURIOSITY,คลิปนี้อาจจะไปขัดใจใครหลายคน แต่ต้องพูด!,คลิปนี้อาจจะไปขัดใจใครหลายคน แต่ต้องพูดนะ!,,
183,CURIOSITY,เผยเบื้องหลัง ความสำเร็จที่หลายคนสงสัย,เผยเบื้องหลัง ความสำเร็จที่หลายคนสงสัยนะ,,
184,CURIOSITY,ระวังตกเทรนด์! ถ้าไม่รู้จักไอเทมตัวนี้,ระวังตกเทรนด์! ถ้าไม่รู้จักของชิ้นนี้ตัวนี้,,
185,CURIOSITY,รู้แล้วจะอึ้ง! ความลับของไอเทมหลักร้อย,รู้แล้วจะอึ้ง! ความลับของของชิ้นนี้หลักร้อย,,
186,CURIOSITY,ท้าให้ลอง! ถ้าไม่ดีจริง ยอมให้ด่าเลย,ท้าให้ลอง! ถ้าไม่ดีจริง ยอมให้ด่าเลยนะ,,
187,CURIOSITY,คลิปนี้จะมาปลดล็อก สกินหมาทองคำให้คุณ!,คลิปนี้จะมาปลดล็อก สกินหมาทองคำให้คุณนะ!,,
188,CURIOSITY,ช็อกซ้ำซ้อน! คุ้มกว่านี้ไม่มีอีกแล้ว,ช็อกซ้ำซ้อน! ชอบกว่านี้หายากจริงๆ,,
189,CURIOSITY,อย่าเพิ่งยอมแพ้ ถ้ายังไม่ได้ลองวิธีนี้!,อย่าเพิ่งยอมแพ้ ถ้ายังไม่ได้ลองวิธีนี้นะ!,,
190,CURIOSITY,เผยสูตรลับ ที่ทำยอดขายถล่มทลาย!,เผยทริคที่ใช้บ่อย ที่ทำยอดขายถล่มทลาย!,,
191,CURIOSITY,ระวังของปลอมระบาด! ดูวิธีเช็คของแท้ในคลิปนี้,ระวังของปลอมระบาด! ดูวิธีเช็คของแท้ในคลิปนี้เลย,,
192,CURIOSITY,รู้ไว้ใช่ว่า ใส่บ่าแบกหาม ทริคดีๆ ที่ต้องรู้!,รู้ไว้ใช่ว่า ใส่บ่าแบกหาม ทริคดีๆ ที่ต้องรู้นะ!,,
193,CURIOSITY,สิ่งที่คุณมองข้าม อาจจะเป็นตัวการสำคัญ!,สิ่งที่คุณมองข้าม อาจจะเป็นตัวการสำคัญนะ!,,
194,CURIOSITY,ช็อกความรู้สึก! เมื่อรู้ความจริงข้อนี้,ช็อกความรู้สึก! เมื่อรู้ความจริงข้อนี้นะ,,
195,CURIOSITY,อย่าปล่อยให้ความสงสัย ฆ่าคุณ รีบดูคลิปนี้!,อย่าปล่อยให้ความสงสัย ฆ่าคุณ รีบดูคลิปนี้นะ!,,
196,CURIOSITY,คลิปนี้มีเซอร์ไพรส์ รออยู่ตอนท้าย!,คลิปนี้มีเซอร์ไพรส์ รออยู่ตอนท้ายนะ!,,
197,CURIOSITY,เผยไอเทมก้นกรุ ที่ไม่ค่อยมีใครรู้จัก,เผยไอเทมก้นกรุ ที่ไม่ค่อยมีใครอีกรู้จัก,,
198,CURIOSITY,ระวังจะโดนตก! ถ้าดูคลิปนี้จบ,ระวังจะโดนตก! ถ้าดูคลิปนี้เลยจบ,,
199,CURIOSITY,รู้ทันกลโกง! ก่อนตกเป็นเหยื่อ,รู้ทันกลโกง! ก่อนตกเป็นเหยื่อนะ,,
200,CURIOSITY,ช็อกโลกออนไลน์! คลิปไวรัลที่คุณต้องดู,ช็อกโลกออนไลน์! คลิปไวรัลที่คุณต้องแวะดู,,
201,FOMO,โปรช่วงนี้คนเยอะ ใครเล็งไว้รีบเช็กสต็อก,ช่วงนี้คนสนใจเยอะ แนะให้แวะเช็กสต็อกก่อน,,
202,FOMO,ของชิ้นนี้ขายดี เลยมาอัปเดตให้ฟังทันๆ,ขายดีเลยมาอัปเดตให้ฟังแบบกระชับๆ,,
203,FOMO,ใครชอบของฮิต ช่วงนี้เข้ามาดูรีวิวบ่อยๆ,ของฮิตช่วงนี้ แวะอ่านรีวิวบ่อยๆ ดีกว่า,,
204,FOMO,ไม่อยากให้พลาดจังหวะดี แวะดูสักครู่,จังหวะดีแบบนี้ แวะดูสักครู่ก่อนไป,,
205,FOMO,ใครเลื่อนผ่านไว ลองดูสั้นๆ ก่อนตัดสินใจ,เลื่อนไวไป ลองดูสั้นๆ ก่อนตัดใจ,,
206,FOMO,ตอนนี้รีวิวเยอะ เอามาสรุปให้ฟังแบบเข้าใจง่าย,รีวิวเยอะ เลยสรุปให้ฟังแบบเข้าใจง่าย,,
207,FOMO,ใครจะกดซื้อ ลองดูในคลิปก่อนก็ดีนะ,จะซื้อที ดูในคลิปก่อนก็ช่วยได้,,
208,FOMO,ช่วงนี้สต็อกเข้าออกเร็ว เช็กบ่อยจะชัวร์กว่า,สต็อกเปลี่ยนเร็ว เช็กบ่อยๆ จะชัวร์กว่า,,
209,FOMO,ใครเล็งรุ่นนี้ไว้ อย่าพลาดมุมที่เล่าให้ฟัง,เล็งรุ่นนี้ไว้ ฟังมุมนี้ก่อนตัดสินใจ,,
210,FOMO,ราคาดีมาแล้ว เปิดดูเปรียบเทียบก่อนจ่าย,ราคาน่าสนใจ ลองเปรียบเทียบก่อนจ่าย,,
211,FOMO,คนที่ชอบอ่านรีวิวก่อนกด มาทางนี้,ชอบอ่านรีวิวก่อนกด แวะมาทางนี้,,
212,FOMO,โอกาสดีๆ มาแล้ว ลองฟังก่อนตัดใจ,โอกาสมาแล้ว ฟังก่อนตัดใจดีกว่า,,
213,FOMO,ใครมีตะกร้ารออยู่ ลองเช็กความคุ้มในคลิป,ตะกร้ารออยู่ เช็กความคุ้มในคลิปนี้,,
214,AUTHENTIC,อัดจากบ้านจริง หลังใช้มาสักพักแล้ว,อัดจากบ้าน หลังใช้มาพักใหญ่ๆ,,
215,AUTHENTIC,ไม่มีสคริปต์ แค่อยากเล่าประสบการณ์ตรงๆ,ไม่สคริปต์ เล่าประสบการณ์ตรงๆ แบบนี้,,
216,AUTHENTIC,เพื่อนกลุ่มแชทถามบ่อย เลยรวมคำตอบไว้ที่นี่,แชทถามเยอะ เลยรวมคำตอบไว้ที่นี่,,
217,AUTHENTIC,ซื้อเองใช้เอง ค่อยมาเล่าให้ฟังแบบเปิดเผย,ซื้อเองใช้เอง เลยเล่าแบบเปิดเผย,,
218,AUTHENTIC,เล่าแบบคุยกับเพื่อน ไม่มีจ้างรีวิวนะ,คุยเหมือนเพื่อน ไม่ได้จ้างรีวิว,,
219,AUTHENTIC,เคยลองหลายอย่างมาแล้ว อันนี้โอเคในมุมเรา,ลองมาหลายแบบ อันนี้โอเคในมุมเรา,,
220,AUTHENTIC,รีวิวยาวไม่จำเป็น ฟังจุดสำคัญแค่นี้ก็ได้,ฟังแค่จุดสำคัญ ก็พอตัดสินใจได้,,
221,AUTHENTIC,จากที่ใช้จริง ไม่ใช่แค่อ่านสเปกกล่อง,ใช้จริงมาเล่า ไม่ได้แค่อ่านสเปก,,
222,AUTHENTIC,อยากบอกต่อ เพราะชีวิตประจำวันสบายขึ้น,ชีวิตสบายขึ้น เลยอยากบอกต่อ,,
223,AUTHENTIC,พูดสั้นๆ ตรงประเด็น ใครชอบแบบนี้เข้ามา,สายตรงๆ พูดสั้นๆ แบบนี้เข้ามา,,
224,AUTHENTIC,ทริคเล็กๆ ที่คิดว่าควรเอามาแชร์ให้ฟัง,ทริคเล็กๆ อยากแชร์ให้ฟังสักหน่อย,,
225,AUTHENTIC,ไม่ได้โม้เกินจริง แค่อยากให้ลองเปิดใจฟัง,ไม่โม้เกินจริง แค่อยากให้ลองฟัง,,
226,AUTHENTIC,มุมผู้ใช้จริง ที่หน้าโฆษณาไม่ได้เล่าเยอะ,มุมคนใช้จริง โฆษณาไม่ได้เล่าเยอะ,,
227,OBSESSION,ของในกระเป๋ารายวัน ชิ้นนี้ติดมาบ่อยมาก,ติดกระเป๋าประจำ ชิ้นนี้หยิบบ่อยมาก,,
228,OBSESSION,ถ้าจัดอันดับของชอบ ชิ้นนี้ติดท็อปทุกรอบ,จัดอันดับของชอบ ชิ้นนี้ติดท็อปเสมอ,,
229,OBSESSION,ใช้บ่อยจนรู้สึกว่าเป็นไอเทมประจำตัว,ใช้บ่อยจนกลายเป็นไอเทมประจำตัว,,
230,OBSESSION,หยิบใช้บ่อยจนวันนี้ขาดไม่ได้จริงๆ,ใช้บ่อยจนวันนี้ขาดไม่ได้จริงๆ,,
231,OBSESSION,ระดับชอบล้น เกือบจะเรียกว่าหลงรักแล้ว,ชอบมาก เกือบจะเรียกว่าหลงรักแล้ว,,
232,OBSESSION,ลิสต์ของใช้ดี มีชื่อชิ้นนี้ตลอด,ลิสต์ของใช้ดี มีชื่อชิ้นนี้เสมอ,,
233,OBSESSION,ยกให้เป็นไอเทมที่ซื้อซ้ำได้ไม่เขิน,ซื้อซ้ำได้โดยไม่เขินเลยจริงๆ,,
234,OBSESSION,แพ้ตั้งแต่เปิดกล่องครั้งแรกเลยจริงๆ,แพ้ตั้งแต่แกะกล่องครั้งแรกเลย,,
235,OBSESSION,จนคนในบ้านทักว่าไปหามาจากไหน,คนในบ้านทักว่าไปหามาจากไหน,,
236,OBSESSION,ขาดวันไหนวันนั้นรู้สึกไม่ครบ,ขาดวันไหน วันนั้นรู้สึกไม่ครบ,,
237,OBSESSION,สั่งซ้ำจนรู้เลขพัสดุเกือบจำได้,สั่งซ้ำจนแทบจำเลขพัสดุได้,,
238,OBSESSION,ของในห้องที่อยากยกให้เป็นตัวท็อป,ของในห้อง ยกให้เป็นตัวท็อปเลย,,
239,CURIOSITY,เลื่อนผ่านไป อาจพลาดมุมที่น่าสนใจนะ,เลื่อนผ่าน อาจพลาดมุมน่าสนใจ,,
240,CURIOSITY,คำว่าคุ้ม หมายถึงอะไรในคลิปนี้มีคำตอบ,คำว่าคุ้มคืออะไร ฟังในคลิปนี้,,
241,CURIOSITY,ยังลังเลอยู่ ลองฟังจบแล้วค่อยตัดสิน,ลังเลอยู่ ฟังจบแล้วค่อยตัดสิน,,
242,CURIOSITY,ประเด็นที่หลายคนยังมองข้ามไปบ่อยๆ,หลายคนยังมองข้ามประเด็นนี้,,
243,CURIOSITY,คลิปนี้เปิดมุมใช้งานที่ไม่ค่อยเห็น,เปิดมุมใช้งานที่ไม่ค่อยเห็น,,
244,CURIOSITY,เทียบข้อดีข้อควรรู้ แบบไม่พูดเกินจริง,เทียบข้อดีข้อควรรู้ แบบตรงๆ,,
245,CURIOSITY,ก่อนกดซื้อ ลองฟังจุดที่ควรเช็กก่อน,ก่อนซื้อ ฟังจุดที่ควรเช็กก่อน,,
246,CURIOSITY,ทำไมหลายคนดูคลิปนี้ซ้ำได้หลายรอบ,ทำไมคนดูคลิปนี้ซ้ำได้หลายรอบ,,
247,CURIOSITY,เบื้องหลังการเลือกใช้ในแต่ละวัน,เล่าเบื้องหลังการเลือกใช้ทุกวัน,,
248,CURIOSITY,ของแพงกับถูก มุมนี้ช่วยให้เห็นต่างชัด,แพงกับถูก มุมนี้เห็นต่างชัดขึ้น,,
249,CURIOSITY,คำถามที่อยากให้ตอบได้หลังจบคลิป,อยากให้ตอบคำถามนี้หลังจบคลิป,,
250,CURIOSITY,เปิดดูแป๊บเดียว อาจได้ไอเดียใหม่ๆ,ดูแป๊บเดียว อาจได้ไอเดียใหม่ๆ,,
